"Index","Value"
2017-06-02 17:55:00,100.6181412
2017-06-02 18:05:00,100.63456275
2017-06-02 18:15:00,100.6397
2017-06-02 18:25:00,100.6444721
2017-06-02 18:35:00,100.6399864
2017-06-02 18:45:00,100.634634
2017-06-02 18:55:00,100.62479555
2017-06-02 19:05:00,100.61466955
2017-06-02 19:15:00,100.5952813
2017-06-02 19:25:00,100.5695325
2017-06-02 19:35:00,100.55462605
2017-06-02 19:45:00,100.516363
2017-06-02 19:55:00,100.48127925
2017-06-02 20:05:00,100.4483657
2017-06-02 20:15:00,100.4100975
2017-06-02 20:25:00,100.36959
2017-06-02 20:35:00,100.3332742
2017-06-02 20:45:00,100.28632725
2017-06-02 20:55:00,100.2380793
2017-06-02 21:05:00,100.18772955
2017-06-02 21:15:00,100.14092825
2017-06-02 21:25:00,100.0889163
2017-06-02 21:35:00,100.04377845
2017-06-02 21:45:00,99.9720181
2017-06-02 21:55:00,99.92883195
2017-06-02 22:05:00,99.877546
2017-06-02 22:15:00,99.85808775
2017-06-02 22:25:00,99.82589725
2017-06-02 22:35:00,99.7893664
2017-06-02 22:45:00,99.747408
2017-06-02 22:55:00,99.71847525
2017-06-02 23:05:00,99.69351885
2017-06-02 23:15:00,99.6751447
2017-06-02 23:25:00,99.65047625
2017-06-02 23:35:00,99.64577475
2017-06-02 23:45:00,99.63839655
2017-06-02 23:55:00,99.63116255
2017-06-03 00:05:00,99.634926
2017-06-03 00:15:00,99.63658685
2017-06-03 00:25:00,99.6456282
2017-06-03 00:35:00,99.65554
2017-06-03 00:45:00,99.66639125
2017-06-03 00:55:00,99.68302925
2017-06-03 01:05:00,99.70400625
2017-06-03 01:15:00,99.72643075
2017-06-03 01:25:00,99.7419835
2017-06-03 01:35:00,99.7636855
2017-06-03 01:45:00,99.7916069
2017-06-03 01:55:00,99.83132175
2017-06-03 02:05:00,99.8613444444444
2017-06-03 02:15:00,99.90011545
2017-06-03 02:25:00,99.9369364
2017-06-03 02:35:00,99.994444
2017-06-03 02:45:00,100.03104435
2017-06-03 02:55:00,100.0946335
2017-06-03 03:05:00,100.12841325
2017-06-03 03:15:00,100.181074
2017-06-03 03:25:00,100.23098925
2017-06-03 03:35:00,100.2780811
2017-06-03 03:45:00,100.314541
2017-06-03 03:55:00,100.343525928571
2017-06-03 04:05:00,100.39237535
2017-06-03 04:15:00,100.43838035
2017-06-03 04:25:00,100.4785285
2017-06-03 04:35:00,100.5065258
2017-06-03 04:45:00,100.54385
2017-06-03 04:55:00,100.5612823
2017-06-03 05:05:00,100.58255025
2017-06-03 05:15:00,100.607868
2017-06-03 05:25:00,100.6237833
